Identifiant,Nom du commerce,Numéro voie,Nom voie,Code postal,Nom commune,Longitude,Latitude,geo_shape,geo_point_2d,zone,commerce_address
2319,HOTEL ADAGIO PARIS XV,0,RUE D ORADOUR-SUR-GLANE 75015 PARIS,0,,2.28318,48.831251,"{""coordinates"": [2.283179999908891, 48.831250998822746], ""type"": ""Point""}","48.831250998822746, 2.283179999908891",Javel,0 RUE D ORADOUR-SUR-GLANE 75015 PARIS
892,LA MARINE,59,BOULEVARD DU MONTPARNASSE,0,,2.323276,48.844294,"{""coordinates"": [2.323276000357916, 48.84429399896598], ""type"": ""Point""}","48.84429399896598, 2.323276000357916",Necker,59 BOULEVARD DU MONTPARNASSE
991,PHARMACIE CONVENTION CROIX NIVERT,131,RUE DE LA CONVENTION,0,,2.289985,48.84035,"{""coordinates"": [2.2899849995435524, 48.840349998678185], ""type"": ""Point""}","48.840349998678185, 2.2899849995435524",Saint-Lambert,131 RUE DE LA CONVENTION
1018,CAVE NICOLAS VAUGIRARD NECKER,222,RUE DE VAUGIRARD,0,,2.305513,48.840881,"{""coordinates"": [2.3055130005921267, 48.84088099929276], ""type"": ""Point""}","48.84088099929276, 2.3055130005921267",Saint-Lambert,222 RUE DE VAUGIRARD
1057,LE DUROC,88,RUE DE SEVRES,0,,2.317179,48.847132,"{""coordinates"": [2.3171789999188555, 48.84713199935557], ""type"": ""Point""}","48.84713199935557, 2.3171789999188555",Necker,88 RUE DE SEVRES
1106,BISTROT PAUL CHENE,79,RUE DU CHERCHE-MIDI,0,,2.323313,48.847755,"{""coordinates"": [2.323313000029953, 48.84775499913433], ""type"": ""Point""}","48.84775499913433, 2.323313000029953",Necker,79 RUE DU CHERCHE-MIDI
1069,GROUPE LATIAN,68,RUE DE SEVRES,0,,2.319158,48.847861,"{""coordinates"": [2.319157999497689, 48.84786099904792], ""type"": ""Point""}","48.84786099904792, 2.319157999497689",Necker,68 RUE DE SEVRES
1092,SO.BIO PARIS SEVRES,99,RUE DE SEVRES,0,,2.321158,48.848577,"{""coordinates"": [2.3211579994822227, 48.84857699867348], ""type"": ""Point""}","48.84857699867348, 2.3211579994822227",Necker,99 RUE DE SEVRES
1105,POKE BAR CHERCHE MIDI,84,RUE DU CHERCHE-MIDI,0,,2.323269,48.847908,"{""coordinates"": [2.323268999656773, 48.847907998679744], ""type"": ""Point""}","48.847907998679744, 2.323268999656773",Necker,84 RUE DU CHERCHE-MIDI
1963,METRO LA MOTTE-PICQUET-GRENELLE,63,AVENUE DE LA MOTTE-PICQUET,0,,2.2985533,48.8494245,"{""coordinates"": [2.298553299966733, 48.84942449949904], ""type"": ""Point""}","48.84942449949904, 2.298553299966733",Grenelle,63 AVENUE DE LA MOTTE-PICQUET
1037,IL ETAIT UNE FOIS DIX DOIGTS,30,RUE BARGUE,0,,2.307833,48.83864,"{""coordinates"": [2.307833000477402, 48.83863999918877], ""type"": ""Point""}","48.83863999918877, 2.307833000477402",Saint-Lambert,30 RUE BARGUE
1058,VAPOSTORE,1,BOULEVARD DU MONTPARNASSE,0,,2.31726,48.846712,"{""coordinates"": [2.3172599994241487, 48.84671199893228], ""type"": ""Point""}","48.84671199893228, 2.3172599994241487",Necker,1 BOULEVARD DU MONTPARNASSE
1109,LE PETIT VERDOT,75,RUE DU CHERCHE-MIDI,0,,2.323514,48.84786,"{""coordinates"": [2.3235139999132324, 48.84785999942959], ""type"": ""Point""}","48.84785999942959, 2.3235139999132324",Necker,75 RUE DU CHERCHE-MIDI
952,UNE FLEUR...DES FLEURS,42,AVENUE DE VERSAILLES,0,,2.275108,48.849042,"{""coordinates"": [2.2751079996684713, 48.84904199900519], ""type"": ""Point""}","48.84904199900519, 2.2751079996684713",Grenelle,42 AVENUE DE VERSAILLES
1116,KIBALOMA,4,PLACE DU DIX-HUIT JUIN 1940,0,,2.323914,48.844291,"{""coordinates"": [2.323913999956543, 48.84429099861984], ""type"": ""Point""}","48.84429099861984, 2.323913999956543",Necker,4 PLACE DU DIX-HUIT JUIN 1940
978,POKE BAR BEAUGRENELLE,42,RUE DES ENTREPRENEURS,0,,2.286542,48.846142,"{""coordinates"": [2.286541999385805, 48.846141999113755], ""type"": ""Point""}","48.846141999113755, 2.286541999385805",Grenelle,42 RUE DES ENTREPRENEURS
1043,HOTEL DE FRANCE INVALIDES,102,BOULEVARD DE LA TOUR-MAUBOURG,0,,2.30932,48.853482,"{""coordinates"": [2.309320000111528, 48.85348199887584], ""type"": ""Point""}","48.85348199887584, 2.309320000111528",Necker,102 BOULEVARD DE LA TOUR-MAUBOURG
973,HOTEL ADAGIO PARIS CENTRE TOUR EIFFEL,14,RUE DU THEATRE,0,,2.285157,48.849956,"{""coordinates"": [2.2851569996679615, 48.849955999047786], ""type"": ""Point""}","48.849955999047786, 2.2851569996679615",Grenelle,14 RUE DU THEATRE
1112,RUE RANGOLI,74,RUE DU CHERCHE-MIDI,0,,2.323776,48.84818,"{""coordinates"": [2.3237760005073755, 48.848179999105064], ""type"": ""Point""}","48.848179999105064, 2.3237760005073755",Necker,74 RUE DU CHERCHE-MIDI
1033,RESTAURANT ZIA,22,AVENUE DE TOURVILLE,0,,2.307149,48.85425,"{""coordinates"": [2.3071490002254778, 48.85424999917365], ""type"": ""Point""}","48.85424999917365, 2.3071490002254778",Necker,22 AVENUE DE TOURVILLE
