bin_id,cycle_id,timestamp,fill_real,fill_pred,error_fill,time_to_90_real,time_to_90_pred,error_time_h,error_time_min
5491,36,2025-10-26 00:00:00,87.39,80.35459,7.035408,11.0,9.456018,1.5439816,92.63889
5271,143,2025-10-26 00:00:00,84.29,85.233025,0.9430237,7.0,4.9893117,2.0106883,120.6413
5685,117,2025-10-26 01:00:00,81.46,79.70386,1.7561417,9.0,8.045293,0.95470715,57.28243
5491,36,2025-10-26 01:00:00,87.27,81.38808,5.88192,10.000001,8.945112,1.0548887,63.293324
5271,143,2025-10-26 01:00:00,85.22,85.85274,0.6327362,5.9999995,4.446185,1.5538144,93.22887
5685,117,2025-10-26 02:00:00,82.13,80.79063,1.3393707,8.0,7.221835,0.77816486,46.68989
5491,36,2025-10-26 02:00:00,88.01,82.2188,5.7911987,9.0,8.410901,0.58909893,35.345936
5271,143,2025-10-26 02:00:00,86.33,86.48698,0.15697479,5.0,3.940588,1.059412,63.56472
5491,36,2025-10-26 03:00:00,88.01,83.244385,4.7656174,8.0,7.4434958,0.55650425,33.390255
5685,117,2025-10-26 03:00:00,82.86,81.89361,0.9663925,7.0,6.5699563,0.4300437,25.802622
5684,56,2025-10-26 03:00:00,80.77,81.23782,0.46782684,13.000001,10.498928,2.501073,150.06438
5271,143,2025-10-26 03:00:00,87.37,87.358795,0.011207581,4.0,3.1839237,0.8160763,48.964577
5491,36,2025-10-26 04:00:00,87.99,83.657135,4.332863,7.0,6.510776,0.48922396,29.353437
5271,143,2025-10-26 04:00:00,87.8,88.33027,0.5302658,3.0,2.561145,0.43885493,26.331295
5684,56,2025-10-26 04:00:00,81.24,82.078926,0.8389282,11.999999,9.945974,2.0540247,123.241486
5685,117,2025-10-26 04:00:00,83.43,82.84857,0.5814285,5.9999995,6.030074,0.030074596,1.8044758
5685,117,2025-10-26 05:00:00,83.94,84.510025,0.5700226,5.0,5.350619,0.35061884,21.03713
5684,56,2025-10-26 05:00:00,81.46,82.68801,1.2280121,11.0,9.346243,1.6537571,99.225426
5491,36,2025-10-26 05:00:00,88.26,84.44753,3.8124695,5.9999995,6.0810075,0.08100796,4.8604774
5271,143,2025-10-26 05:00:00,89.08,89.4669,0.38690186,2.0,1.6002529,0.39974713,23.984829
5491,36,2025-10-26 06:00:00,88.56,85.32176,3.2382355,5.0,5.6511025,0.65110254,39.066154
